value,description,name,table
CEP,CENTRAL PRISON,inmate,inputs/Lookup/tblInmateHousing.csv
CHA,CHARLOTTE CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
CHN,CALHOUN CORRECTIONAL INSTITUTION                  ,inmate,inputs/Lookup/tblInmateHousing.csv
CIR,CARROLL C.I.,inmate,inputs/Lookup/tblInmateHousing.csv
CLA,CLAYTON COUNTY CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
COA,COASTAL CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
COB,COBB COUNTY CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
COL,COLUMBUS CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
CRA,CRAGGY CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
CRE,STATE CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
CRO,CROSS ANCHOR CORR. INST                           ,inmate,inputs/Lookup/tblInmateHousing.csv
CTF,"DC DOC, CORRECTIONAL TREATMENT FACILITY           ",inmate,inputs/Lookup/tblInmateHousing.csv
CUR,CURRITUK CORRECTIONAL CENTER                      ,inmate,inputs/Lookup/tblInmateHousing.csv
DAL,C/O WARDEN                                        ,inmate,inputs/Lookup/tblInmateHousing.csv
DAV,DAVIE CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
DCH,DUTCHMAN CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
DCI,DODGE CORRECTIONAL INSTITUTE,inmate,inputs/Lookup/tblInmateHousing.csv
DCJ,DC DEPARTMENT OF CORRECTIONS                      ,inmate,inputs/Lookup/tblInmateHousing.csv
DCT,DARE COUNTY DETENTION FACILITY                    ,inmate,inputs/Lookup/tblInmateHousing.csv
DEE,DEERFIELD CORRECTIONAL CENTER                     ,inmate,inputs/Lookup/tblInmateHousing.csv
DIL,DILLWYN CORRECTIONAL FACILITY                     ,inmate,inputs/Lookup/tblInmateHousing.csv
DKB,DEKALB COUNTY JAIL                                ,inmate,inputs/Lookup/tblInmateHousing.csv
DLY,DOOLY CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
DMC,DEEP MEADOW CORRECTIONAL CENTER                   ,inmate,inputs/Lookup/tblInmateHousing.csv
DOD,DODGE CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
DPN,DUPLIN CORRECTIONAL CENTER                        ,inmate,inputs/Lookup/tblInmateHousing.csv
DPR,DRAPER CORRECTIONAL FACILITY,inmate,inputs/Lookup/tblInmateHousing.csv
DRA,DRAPER CORRECTIONAL FACILITY                      ,inmate,inputs/Lookup/tblInmateHousing.csv
DUR,DURHAM CORRECTIONAL  CENTER                       ,inmate,inputs/Lookup/tblInmateHousing.csv
EAS,EASTERN CORR. INST..                              ,inmate,inputs/Lookup/tblInmateHousing.csv
EVA,EVANS CORRECTIONAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
EVE,EVANS CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
FCC,FOUNTAIN CORRECTIONAL CENTER FOR WOMEN            ,inmate,inputs/Lookup/tblInmateHousing.csv
FCI,FEDERAL CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
FLO,FLOYD COUNTY CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
FOO,FOOTHILLS CORRECTIONAL INSTITUTION,inmate,inputs/Lookup/tblInmateHousing.csv
FOR,FORSYTH COUNTY DETENTION CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
FOU,FOUNTAIN CORRECTIONAL CENTER FOR WOMEN            ,inmate,inputs/Lookup/tblInmateHousing.csv
FRA,FRANKLIN CORRECTIONAL CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
FRN,FRANKLIN CORRECTIONAL CENTER                      ,inmate,inputs/Lookup/tblInmateHousing.csv
GAT,GATES CORRECTIONAL CENTER                         ,inmate,inputs/Lookup/tblInmateHousing.csv
GCC,GASTON CORRECTIONAL CENTER                        ,inmate,inputs/Lookup/tblInmateHousing.csv
GDB,GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER        ,inmate,inputs/Lookup/tblInmateHousing.csv
GDC,GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
GEO,GEORGIA DIAGNOSTIC & CLASSIFICATION CENTER,inmate,inputs/Lookup/tblInmateHousing.csv
GII,GEORGIA INDUSTRIAL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
GNE,GREENE CORRECTIONL INSTITUTION                    ,inmate,inputs/Lookup/tblInmateHousing.csv
GOO,VIRGINIA CORRECTIONAL CENTER FOR WOMEN            ,inmate,inputs/Lookup/tblInmateHousing.csv
