"zcta","state","stab","ZIPName","pop20","afact2","afact"
"ZIP census tabulation area","State code","State abbr.","ZIP Code name","Total population (2020 Census)","state-to-zcta allocation factor","zcta-to-state allocation factor"
"16052","42","PA","Prospect, PA",2283,0.0002,1 
"16053","42","PA","Renfrew, PA",4028,0.0003,1 
"16054","42","PA","Saint Petersburg, PA (PO boxes)",418,0,1 
"16055","42","PA","Sarver, PA",8886,0.0007,1 
"16056","42","PA","Saxonburg, PA",4779,0.0004,1 
"16057","42","PA","Slippery Rock, PA",14327,0.0011,1 
"16059","42","PA","Valencia, PA",9520,0.0007,1 
"16061","42","PA","West Sunbury, PA",2499,0.0002,1 
"16063","42","PA","Zelienople, PA",7596,0.0006,1 
"16066","42","PA","Cranberry Township, PA",32922,0.0025,1 
"16101","42","PA","New Castle, PA",31960,0.0025,1 
"16102","42","PA","New Castle, PA",5468,0.0004,1 
"16105","42","PA","New Castle, PA",15420,0.0012,1 
"16110","42","PA","Adamsville, PA",357,0,1 
"16111","42","PA","Atlantic, PA",1244,0.0001,1 
"16112","42","PA","Bessemer, PA",1525,0.0001,1 
"16113","42","PA","Clark, PA (PO boxes)",330,0,1 
"16114","42","PA","Clarks Mills, PA",613,0,1 
"16115","42","PA","Darlington, PA",3324,0.0003,1 
"16116","42","PA","Edinburg, PA",2573,0.0002,1 
"16117","42","PA","Ellwood City, PA",16459,0.0013,1 
"16120","42","PA","Enon Valley, PA",2221,0.0002,1 
"16121","42","PA","Farrell, PA",4258,0.0003,1 
"16123","42","PA","Fombell, PA",2158,0.0002,1 
"16124","42","PA","Fredonia, PA",1923,0.0001,1 
"16125","42","PA","Greenville, PA",17198,0.0013,1 
"16127","42","PA","Grove City, PA",15298,0.0012,1 
"16130","42","PA","Hadley, PA",1964,0.0002,1 
"16131","42","PA","Hartstown, PA",971,0.0001,1 
"16132","42","PA","Hillsville, PA (PO boxes)",380,0,1 
"16133","42","PA","Jackson Center, PA",1365,0.0001,1 
"16134","42","PA","Jamestown, PA",3498,0.0003,1 
"16136","42","PA","Koppel, PA (PO boxes)",748,0.0001,1 
"16137","42","PA","Mercer, PA",12654,0.001,1 
"16140","42","PA","New Bedford, PA (PO boxes)",226,0,1 
"16141","42","PA","New Galilee, PA",1653,0.0001,1 
"16142","42","PA","New Wilmington, PA",5906,0.0005,1 
"16143","42","PA","Pulaski, PA",2398,0.0002,1 
"16145","42","PA","Sandy Lake, PA",2586,0.0002,1 
"16146","42","PA","Sharon, PA",13181,0.001,1 
"16148","42","PA","Hermitage, PA",16673,0.0013,1 
"16150","42","PA","Sharpsville, PA",7172,0.0006,1 
"16151","42","PA","Sheakleyville, PA (PO boxes)",69,0,1 
"16153","42","PA","Stoneboro, PA",2451,0.0002,1 
"16154","42","PA","Transfer, PA",2354,0.0002,1 
"16155","42","PA","Villa Maria, PA (PO boxes)",100,0,1 
"16156","42","PA","Volant, PA",3218,0.0002,1 
"16157","42","PA","Wampum, PA",3112,0.0002,1 
"16159","42","PA","West Middlesex, PA",4264,0.0003,1 
"16160","42","PA","West Pittsburg, PA (PO boxes)",799,0.0001,1 
"16161","42","PA","Wheatland, PA (PO boxes)",597,0,1 
"16172","42","PA","New Wilmington, PA",707,0.0001,1 
"16201","42","PA","Kittanning, PA",17236,0.0013,1 
"16210","42","PA","Adrian, PA",961,0.0001,1 
"16211","42","PA","Beyer, PA (PO boxes)",115,0,1 
"16212","42","PA","Cadogan, PA (PO boxes)",324,0,1 
"16213","42","PA","Callensburg, PA (PO boxes)",132,0,1 
"16214","42","PA","Clarion, PA",8308,0.0006,1 
"16217","42","PA","Cooksburg, PA",59,0,1 
"16218","42","PA","Cowansville, PA",1041,0.0001,1 
"16220","42","PA","Crown, PA (PO boxes)",45,0,1 
"16222","42","PA","Dayton, PA",2557,0.0002,1 
"16223","42","PA","Distant, PA (PO boxes)",142,0,1 
"16224","42","PA","Fairmount City, PA",1086,0.0001,1 
"16226","42","PA","Ford City, PA",7880,0.0006,1 
"16228","42","PA","Ford Cliff, PA",361,0,1 
"16229","42","PA","Freeport, PA",4978,0.0004,1 
"16230","42","PA","Hawthorn, PA (PO boxes)",477,0,1 
"16232","42","PA","Knox, PA",4479,0.0003,1 
"16233","42","PA","Leeper, PA",1161,0.0001,1 
"16235","42","PA","Lucinda, PA",1223,0.0001,1 
"16236","42","PA","Mc Grann, PA (PO boxes)",250,0,1 
"16238","42","PA","Manorville, PA (PO boxes)",382,0,1 
"16239","42","PA","Marienville, PA",4196,0.0003,1 
"16240","42","PA","Mayport, PA",1520,0.0001,1 
"16242","42","PA","New Bethlehem, PA",4623,0.0004,1 
"16244","42","PA","Nu Mine, PA (PO boxes)",247,0,1 
"16245","42","PA","Oak Ridge, PA (PO boxes)",199,0,1 
"16246","42","PA","Plumville, PA (PO boxes)",220,0,1 
"16248","42","PA","Rimersburg, PA",3141,0.0002,1 
"16249","42","PA","Rural Valley, PA",1717,0.0001,1 
"16250","42","PA","Sagamore, PA (PO boxes)",404,0,1 
"16253","42","PA","Seminole, PA",161,0,1 
"16254","42","PA","Shippenville, PA",3174,0.0002,1 
"16255","42","PA","Sligo, PA",1932,0.0001,1 
"16256","42","PA","Smicksburg, PA",2076,0.0002,1 
"16258","42","PA","Strattanville, PA",1774,0.0001,1 
"16259","42","PA","Templeton, PA",1725,0.0001,1 
"16260","42","PA","Vowinckel, PA",229,0,1 
"16262","42","PA","Worthington, PA",2783,0.0002,1 
"16263","42","PA","Yatesboro, PA (PO boxes)",330,0,1 
"16301","42","PA","Oil City, PA",14935,0.0011,1 
"16311","42","PA","Carlton, PA",514,0,1 
"16312","42","PA","Chandlers Valley, PA (PO boxes)",17,0,1 
"16313","42","PA","Clarendon, PA",1691,0.0001,1 
"16314","42","PA","Cochranton, PA",5296,0.0004,1 
"16316","42","PA","Conneaut Lake, PA",5056,0.0004,1 
"16317","42","PA","Cooperstown, PA",1306,0.0001,1 
"16319","42","PA","Cranberry, PA",1401,0.0001,1 
"16321","42","PA","East Hickory, PA (PO boxes)",43,0,1 
"16322","42","PA","Endeavor, PA (PO boxes)",123,0,1 
"16323","42","PA","Franklin, PA",15116,0.0012,1 
"16326","42","PA","Fryburg, PA",377,0,1 
"16327","42","PA","Guys Mills, PA",2557,0.0002,1 
"16328","42","PA","Hydetown, PA (PO boxes)",183,0,1 
"16329","42","PA","Irvine, PA",378,0,1 
"16331","42","PA","Kossuth, PA",87,0,1 
"16332","42","PA","Lickingville, PA",119,0,1 
"16333","42","PA","Ludlow, PA (PO boxes)",311,0,1 
"16334","42","PA","Marble, PA",416,0,1 
"16335","42","PA","Meadville, PA",27452,0.0021,1 
"16340","42","PA","Pittsfield, PA",1775,0.0001,1 
"16341","42","PA","Pleasantville, PA",1975,0.0002,1 
"16342","42","PA","Polk, PA",2092,0.0002,1 
"16343","42","PA","Reno, PA (PO boxes)",405,0,1 
"16344","42","PA","Rouseville, PA (PO boxes)",457,0,1 
"16345","42","PA","Russell, PA",3562,0.0003,1 
"16346","42","PA","Seneca, PA",2846,0.0002,1 
"16347","42","PA","Sheffield, PA",1924,0.0001,1 
"16350","42","PA","Sugar Grove, PA",2669,0.0002,1 
"16351","42","PA","Tidioute, PA",1493,0.0001,1 
"16352","42","PA","Tiona, PA (PO boxes)",243,0,1 
"16353","42","PA","Tionesta, PA",2690,0.0002,1 
"16354","42","PA","Titusville, PA",10255,0.0008,1 
"16360","42","PA","Townville, PA",1261,0.0001,1 
"16361","42","PA","Tylersburg, PA (PO boxes)",61,0,1 
"16362","42","PA","Utica, PA",1085,0.0001,1 
"16364","42","PA","Venus, PA",1363,0.0001,1 
"16365","42","PA","Warren, PA",17428,0.0013,1 
"16370","42","PA","West Hickory, PA (PO boxes)",157,0,1 
"16371","42","PA","Youngsville, PA",3218,0.0002,1 
"16372","42","PA","Clintonville, PA (PO boxes)",435,0,1 
"16373","42","PA","Emlenton, PA",3355,0.0003,1 
"16374","42","PA","Kennerdell, PA",1789,0.0001,1 
"16401","42","PA","Albion, PA",4209,0.0003,1 
"16402","42","PA","Bear Lake, PA",734,0.0001,1 
"16403","42","PA","Cambridge Springs, PA",6626,0.0005,1 
"16404","42","PA","Centerville, PA",3113,0.0002,1 
"16405","42","PA","Columbus, PA",646,0,1 
"16406","42","PA","Conneautville, PA",3383,0.0003,1 
"16407","42","PA","Corry, PA",10526,0.0008,1 
"16410","42","PA","Cranesville, PA",1798,0.0001,1 
"16411","42","PA","East Springfield, PA",1323,0.0001,1 
"16412","42","PA","Edinboro, PA",9292,0.0007,1 
"16415","42","PA","Fairview, PA",9898,0.0008,1 
"16416","42","PA","Garland, PA (PO boxes)",166,0,1 
"16417","42","PA","Girard, PA",8109,0.0006,1 
"16420","42","PA","Grand Valley, PA",599,0,1 
"16421","42","PA","Harborcreek, PA",2351,0.0002,1 
"16422","42","PA","Harmonsburg, PA (PO boxes)",309,0,1 
"16423","42","PA","Lake City, PA",4122,0.0003,1 
"16424","42","PA","Linesville, PA",4405,0.0003,1 
"16426","42","PA","Mc Kean, PA",3785,0.0003,1 
"16427","42","PA","Mill Village, PA (PO boxes)",238,0,1 
"16428","42","PA","North East, PA",12524,0.001,1 
"16430","42","PA","North Springfield, PA",101,0,1 
"16433","42","PA","Saegertown, PA",4982,0.0004,1 
"16434","42","PA","Spartansburg, PA",3118,0.0002,1 
"16435","42","PA","Springboro, PA",1764,0.0001,1 
"16436","42","PA","Spring Creek, PA",706,0.0001,1 
"16438","42","PA","Union City, PA",7504,0.0006,1 
"16440","42","PA","Venango, PA",816,0.0001,1 
"16441","42","PA","Waterford, PA",10240,0.0008,1 
"16442","42","PA","Wattsburg, PA",2750,0.0002,1 
"16443","42","PA","West Springfield, PA",1330,0.0001,1 
"16444","42","PA","Edinboro, PA",1202,0.0001,1 
"16475","42","PA","Albion, PA",2275,0.0002,1 
"16501","42","PA","Erie, PA",2241,0.0002,1 
"16502","42","PA","Erie, PA",15435,0.0012,1 
"16503","42","PA","Erie, PA",15328,0.0012,1 
"16504","42","PA","Erie, PA",16135,0.0012,1 
"16505","42","PA","Erie, PA",16437,0.0013,1 
"16506","42","PA","Erie, PA",23918,0.0018,1 
"16507","42","PA","Erie, PA",9429,0.0007,1 
"16508","42","PA","Erie, PA",15172,0.0012,1 
"16509","42","PA","Erie, PA",28005,0.0022,1 
"16510","42","PA","Erie, PA",24515,0.0019,1 
"16511","42","PA","Erie, PA",11347,0.0009,1 
"16546","42","PA","Erie, PA",1166,0.0001,1 
"16563","42","PA","Erie, PA",1466,0.0001,1 
"16601","42","PA","Altoona, PA",32764,0.0025,1 
"16602","42","PA","Altoona, PA",27996,0.0022,1 
"16611","42","PA","Alexandria, PA",2376,0.0002,1 
"16613","42","PA","Ashville, PA",1528,0.0001,1 
"16616","42","PA","Beccaria, PA",112,0,1 
"16617","42","PA","Bellwood, PA",2655,0.0002,1 
"16619","42","PA","Blandburg, PA (PO boxes)",348,0,1 
"16620","42","PA","Brisbin, PA (PO boxes)",415,0,1 
"16621","42","PA","Broad Top, PA",646,0,1 
"16622","42","PA","Calvin, PA",116,0,1 
"16623","42","PA","Cassville, PA",480,0,1 
"16624","42","PA","Chest Springs, PA (PO boxes)",267,0,1 
"16625","42","PA","Claysburg, PA",3402,0.0003,1 
"16627","42","PA","Coalport, PA",2199,0.0002,1 
"16630","42","PA","Cresson, PA",4679,0.0004,1 
"16631","42","PA","Curryville, PA (PO boxes)",85,0,1 
"16633","42","PA","Defiance, PA (PO boxes)",181,0,1 
"16634","42","PA","Dudley, PA (PO boxes)",283,0,1 
"16635","42","PA","Duncansville, PA",11661,0.0009,1 
"16636","42","PA","Dysart, PA",722,0.0001,1 
"16637","42","PA","East Freedom, PA",2463,0.0002,1 
"16638","42","PA","Entriken, PA",73,0,1 
"16639","42","PA","Fallentimber, PA",1212,0.0001,1 
"16640","42","PA","Flinton, PA",1064,0.0001,1 
"16641","42","PA","Gallitzin, PA",2527,0.0002,1 
"16645","42","PA","Glen Hope, PA",127,0,1 
"16646","42","PA","Hastings, PA",2440,0.0002,1 
"16647","42","PA","Hesston, PA",762,0.0001,1 
"16648","42","PA","Hollidaysburg, PA",15149,0.0012,1 
"16650","42","PA","Hopewell, PA",1826,0.0001,1 
"16651","42","PA","Houtzdale, PA",5796,0.0004,1 
"16652","42","PA","Huntingdon, PA",15955,0.0012,1 
"16654","42","PA","Huntingdon, PA",2011,0.0002,1 
"16655","42","PA","Imler, PA",1451,0.0001,1 
"16656","42","PA","Irvona, PA",1137,0.0001,1 
"16657","42","PA","James Creek, PA",1260,0.0001,1 
"16659","42","PA","Loysburg, PA",261,0,1 
"16661","42","PA","Madera, PA",1007,0.0001,1 
"16662","42","PA","Martinsburg, PA",5574,0.0004,1 
"16664","42","PA","New Enterprise, PA",2089,0.0002,1 
"16665","42","PA","Newry, PA (PO boxes)",324,0,1 
"16666","42","PA","Osceola Mills, PA",2643,0.0002,1 
"16667","42","PA","Osterburg, PA",1368,0.0001,1 
"16668","42","PA","Patton, PA",3409,0.0003,1 
"16669","42","PA","Petersburg, PA",2034,0.0002,1 
"16670","42","PA","Queen, PA",133,0,1 
"16671","42","PA","Ramey, PA (PO boxes)",491,0,1 
"16672","42","PA","Riddlesburg, PA (PO boxes)",187,0,1 
"16673","42","PA","Roaring Spring, PA",5317,0.0004,1 
"16674","42","PA","Robertsdale, PA",484,0,1 
"16675","42","PA","Saint Boniface, PA (PO boxes)",102,0,1 
"16677","42","PA","Sandy Ridge, PA (PO boxes)",416,0,1 
"16678","42","PA","Saxton, PA",2548,0.0002,1 
"16679","42","PA","Six Mile Run, PA",734,0.0001,1 
"16680","42","PA","Smithmill, PA",416,0,1 
"16682","42","PA","Sproul, PA",206,0,1 
"16683","42","PA","Spruce Creek, PA",395,0,1 
"16684","42","PA","Tipton, PA (PO boxes)",65,0,1 
"16685","42","PA","Todd, PA",279,0,1 
"16686","42","PA","Tyrone, PA",13861,0.0011,1 
"16689","42","PA","Waterfall, PA",379,0,1 
"16691","42","PA","Wells Tannery, PA",352,0,1 
"16692","42","PA","Westover, PA",807,0.0001,1 
"16693","42","PA","Williamsburg, PA",4061,0.0003,1 
"16694","42","PA","Wood, PA (PO boxes)",320,0,1 
"16695","42","PA","Woodbury, PA",967,0.0001,1 
"16701","42","PA","Bradford, PA",16887,0.0013,1 
"16720","42","PA","Austin, PA",1126,0.0001,1 
"16724","42","PA","Crosby, PA (PO boxes)",94,0,1 
"16725","42","PA","Custer City, PA (PO boxes)",128,0,1 
"16726","42","PA","Cyclone, PA",493,0,1 
"16727","42","PA","Derrick City, PA",196,0,1 
"16729","42","PA","Duke Center, PA",745,0.0001,1 
"16730","42","PA","East Smethport, PA (PO boxes)",165,0,1 
"16731","42","PA","Eldred, PA",2607,0.0002,1 
"16732","42","PA","Gifford, PA",251,0,1 
"16733","42","PA","Hazel Hurst, PA (PO boxes)",195,0,1 
"16734","42","PA","James City, PA (PO boxes)",207,0,1 
"16735","42","PA","Kane, PA",6208,0.0005,1 
"16738","42","PA","Lewis Run, PA",1985,0.0002,1 
"16740","42","PA","Mount Jewett, PA",930,0.0001,1 
"16743","42","PA","Port Allegany, PA",3933,0.0003,1 
"16744","42","PA","Rew, PA",219,0,1 
"16745","42","PA","Rixford, PA",555,0,1 
"16746","42","PA","Roulette, PA",1099,0.0001,1 
"16748","42","PA","Shinglehouse, PA",2831,0.0002,1 
"16749","42","PA","Smethport, PA",3852,0.0003,1 
"16750","42","PA","Turtlepoint, PA",453,0,1 
"16801","42","PA","State College, PA",42446,0.0033,1 
"16802","42","PA","University Park, PA",12977,0.001,1 
"16803","42","PA","State College, PA",24751,0.0019,1 
"16820","42","PA","Aaronsburg, PA",1106,0.0001,1 
"16821","42","PA","Allport, PA",249,0,1 
"16822","42","PA","Beech Creek, PA",2189,0.0002,1 
"16823","42","PA","Bellefonte, PA",29345,0.0023,1 
"16825","42","PA","Bigler, PA (PO boxes)",254,0,1 
"16826","42","PA","Blanchard, PA (PO boxes)",581,0,1 
"16827","42","PA","Boalsburg, PA",4995,0.0004,1 
"16828","42","PA","Centre Hall, PA",4377,0.0003,1 
"16829","42","PA","Clarence, PA",676,0.0001,1 
"16830","42","PA","Clearfield, PA",13121,0.001,1 
"16832","42","PA","Coburn, PA",469,0,1 
"16833","42","PA","Curwensville, PA",5309,0.0004,1 
"16834","42","PA","Drifting, PA (PO boxes)",266,0,1 
"16835","42","PA","Fleming, PA (PO boxes)",226,0,1 
"16836","42","PA","Frenchville, PA",1167,0.0001,1 
"16837","42","PA","Glen Richey, PA",190,0,1 
"16838","42","PA","Grampian, PA",1720,0.0001,1 
"16839","42","PA","Grassflat, PA",465,0,1 
"16840","42","PA","Hawk Run, PA",366,0,1 
"16841","42","PA","Howard, PA",5601,0.0004,1 
"16843","42","PA","Hyde, PA (PO boxes)",702,0.0001,1 
"16844","42","PA","Julian, PA",2644,0.0002,1 
"16845","42","PA","Karthaus, PA",1055,0.0001,1 
"16847","42","PA","Kylertown, PA (PO boxes)",313,0,1 
"16848","42","PA","Lamar, PA (PO boxes)",254,0,1 
"16849","42","PA","Lanse, PA (PO boxes)",318,0,1 
"16851","42","PA","Lemont, PA (PO boxes)",956,0.0001,1 
"16852","42","PA","Madisonburg, PA",350,0,1 
"16853","42","PA","Milesburg, PA (PO boxes)",404,0,1 
"16854","42","PA","Millheim, PA",884,0.0001,1 
"16855","42","PA","Mineral Springs, PA (PO boxes)",305,0,1 
"16856","42","PA","Mingoville, PA (PO boxes)",159,0,1 
"16858","42","PA","Morrisdale, PA",3847,0.0003,1 
"16859","42","PA","Moshannon, PA",460,0,1 
"16860","42","PA","Munson, PA",380,0,1 
"16861","42","PA","New Millport, PA",316,0,1 
"16863","42","PA","Olanta, PA",727,0.0001,1 
"16864","42","PA","Orviston, PA",64,0,1 
"16865","42","PA","Pennsylvania Furnace, PA",1575,0.0001,1 
"16866","42","PA","Philipsburg, PA",9850,0.0008,1 
"16868","42","PA","Pine Grove Mills, PA (PO boxes)",640,0,1 
"16870","42","PA","Port Matilda, PA",7452,0.0006,1 
"16871","42","PA","Pottersdale, PA",33,0,1 
"16872","42","PA","Rebersburg, PA",1584,0.0001,1 
"16874","42","PA","Snow Shoe, PA",1264,0.0001,1 
"16875","42","PA","Spring Mills, PA",4031,0.0003,1 
"16876","42","PA","Wallaceton, PA (PO boxes)",295,0,1 
"16877","42","PA","Warriors Mark, PA",1684,0.0001,1 
"16878","42","PA","West Decatur, PA",1862,0.0001,1 
"16879","42","PA","Winburne, PA",342,0,1 
"16881","42","PA","Woodland, PA",1923,0.0001,1 
"16882","42","PA","Woodward, PA",482,0,1 
"16901","42","PA","Wellsboro, PA",10561,0.0008,1 
"16910","42","PA","Alba, PA",72,0,1 
"16911","42","PA","Arnot, PA (PO boxes)",164,0,1 
"16912","42","PA","Blossburg, PA",2060,0.0002,1 
"16914","42","PA","Columbia Cross Roads, PA",2248,0.0002,1 
"16915","42","PA","Coudersport, PA",5756,0.0004,1 
"16917","42","PA","Covington, PA",1464,0.0001,1 
"16920","42","PA","Elkland, PA",1977,0.0002,1 
"16921","42","PA","Gaines, PA",563,0,1 
"16922","42","PA","Galeton, PA",1775,0.0001,1 
"16923","42","PA","Genesee, PA",1360,0.0001,1 
"16925","42","PA","Gillett, PA",3328,0.0003,1 
"16926","42","PA","Granville Summit, PA",875,0.0001,1 
"16927","42","PA","Harrison Valley, PA",595,0,1 
"16928","42","PA","Knoxville, PA",1327,0.0001,1 
"16929","42","PA","Lawrenceville, PA",2506,0.0002,1 
"16930","42","PA","Liberty, PA",1255,0.0001,1 
"16932","42","PA","Mainesburg, PA",669,0.0001,1 
"16933","42","PA","Mansfield, PA",6643,0.0005,1 
"16935","42","PA","Middlebury Center, PA",1194,0.0001,1 
"16936","42","PA","Millerton, PA",2111,0.0002,1 
"16937","42","PA","Mills, PA",152,0,1 
"16938","42","PA","Morris, PA",711,0.0001,1 
"16939","42","PA","Morris Run, PA (PO boxes)",198,0,1 
"16940","42","PA","Nelson, PA (PO boxes)",58,0,1 
"16941","42","PA","Genesee, PA",48,0,1 
"16942","42","PA","Osceola, PA",716,0.0001,1 
"16943","42","PA","Sabinsville, PA",462,0,1 
"16946","42","PA","Tioga, PA",2524,0.0002,1 
"16947","42","PA","Troy, PA",4759,0.0004,1 
"16948","42","PA","Ulysses, PA",1669,0.0001,1 
"16950","42","PA","Westfield, PA",3463,0.0003,1 
"17002","42","PA","Allensville, PA",665,0.0001,1 
"17003","42","PA","Annville, PA",12329,0.0009,1 
"17004","42","PA","Belleville, PA",5414,0.0004,1 
"17005","42","PA","Berrysburg, PA (PO boxes)",309,0,1 
"17006","42","PA","Blain, PA",1071,0.0001,1 
"17007","42","PA","Boiling Springs, PA",5954,0.0005,1 
"17009","42","PA","Burnham, PA",1920,0.0001,1 
"17010","42","PA","Campbelltown, PA (PO boxes)",113,0,1 
"17011","42","PA","Camp Hill, PA",36184,0.0028,1 
"17013","42","PA","Carlisle, PA",36578,0.0028,1 
"17014","42","PA","Cocolamus, PA",213,0,1 
"17015","42","PA","Carlisle, PA",22316,0.0017,1 
"17016","42","PA","Cornwall, PA (PO boxes)",508,0,1 
"17017","42","PA","Dalmatia, PA",1723,0.0001,1 
"17018","42","PA","Dauphin, PA",4324,0.0003,1 
"17019","42","PA","Dillsburg, PA",19156,0.0015,1 
"17020","42","PA","Duncannon, PA",8587,0.0007,1 
"17021","42","PA","East Waterford, PA",875,0.0001,1 
"17022","42","PA","Elizabethtown, PA",31163,0.0024,1 
"17023","42","PA","Elizabethville, PA",3298,0.0003,1 
"17024","42","PA","Elliottsburg, PA",1964,0.0002,1 
"17025","42","PA","Enola, PA",17664,0.0014,1 
"17026","42","PA","Fredericksburg, PA",3651,0.0003,1 
"17027","42","PA","Grantham, PA (PO boxes)",3420,0.0003,1 
"17028","42","PA","Grantville, PA",3448,0.0003,1 
"17029","42","PA","Granville, PA",350,0,1 
"17030","42","PA","Gratz, PA",523,0,1 
"17032","42","PA","Halifax, PA",7816,0.0006,1 
"17033","42","PA","Hershey, PA",16414,0.0013,1 
"17034","42","PA","Highspire, PA",2765,0.0002,1 
"17035","42","PA","Honey Grove, PA",734,0.0001,1 
"17036","42","PA","Hummelstown, PA",24146,0.0019,1 
"17037","42","PA","Ickesburg, PA",993,0.0001,1 
"17038","42","PA","Jonestown, PA",7842,0.0006,1 
"17039","42","PA","Kleinfeltersville, PA (PO boxes)",34,0,1 
"17040","42","PA","Landisburg, PA",2555,0.0002,1 
"17041","42","PA","Lawn, PA (PO boxes)",194,0,1 
"17042","42","PA","Lebanon, PA",40618,0.0031,1 
"17043","42","PA","Lemoyne, PA",6184,0.0005,1 
"17044","42","PA","Lewistown, PA",20681,0.0016,1 
"17045","42","PA","Liverpool, PA",3322,0.0003,1 
"17046","42","PA","Lebanon, PA",31272,0.0024,1 
"17047","42","PA","Loysville, PA",2688,0.0002,1 
"17048","42","PA","Lykens, PA",4006,0.0003,1 
"17049","42","PA","Mc Alisterville, PA",3121,0.0002,1 
"17050","42","PA","Mechanicsburg, PA",42722,0.0033,1 
"17051","42","PA","Mc Veytown, PA",4425,0.0003,1 
"17052","42","PA","Mapleton Depot, PA",1514,0.0001,1 
"17053","42","PA","Marysville, PA",5127,0.0004,1 
"17054","42","PA","Mattawana, PA (PO boxes)",147,0,1 
"17055","42","PA","Mechanicsburg, PA",40353,0.0031,1 
"17056","42","PA","Mexico, PA (PO boxes)",57,0,1 
"17057","42","PA","Middletown, PA",23112,0.0018,1 
"17058","42","PA","Mifflin, PA",1779,0.0001,1 
"17059","42","PA","Mifflintown, PA",7655,0.0006,1 
"17060","42","PA","Mill Creek, PA",1152,0.0001,1 
"17061","42","PA","Millersburg, PA",6966,0.0005,1 
"17062","42","PA","Millerstown, PA",4096,0.0003,1 
"17063","42","PA","Milroy, PA",3484,0.0003,1 
"17064","42","PA","Mount Gretna, PA (PO boxes)",847,0.0001,1 
"17065","42","PA","Mount Holly Springs, PA",4265,0.0003,1 
"17066","42","PA","Mount Union, PA",4883,0.0004,1 
"17067","42","PA","Myerstown, PA",15677,0.0012,1 
"17068","42","PA","New Bloomfield, PA",4302,0.0003,1 
"17069","42","PA","New Buffalo, PA (PO boxes)",316,0,1 
"17070","42","PA","New Cumberland, PA",16359,0.0013,1 
"17071","42","PA","New Germantown, PA (PO boxes)",151,0,1 
"17073","42","PA","Newmanstown, PA",5927,0.0005,1 
"17074","42","PA","Newport, PA",7552,0.0006,1 
"17075","42","PA","Newton Hamilton, PA (PO boxes)",119,0,1 
"17076","42","PA","Oakland Mills, PA",36,0,1 
"17077","42","PA","Ono, PA (PO boxes)",105,0,1 
"17078","42","PA","Palmyra, PA",23496,0.0018,1 
"17080","42","PA","Pillow, PA (PO boxes)",292,0,1 
"17081","42","PA","Plainfield, PA (PO boxes)",443,0,1 
"17082","42","PA","Port Royal, PA",3282,0.0003,1 
"17084","42","PA","Reedsville, PA",4341,0.0003,1 
"17086","42","PA","Richfield, PA",2343,0.0002,1 
"17087","42","PA","Richland, PA",2787,0.0002,1 
"17088","42","PA","Schaefferstown, PA (PO boxes)",668,0.0001,1 
"17090","42","PA","Shermans Dale, PA",5093,0.0004,1 
"17093","42","PA","Summerdale, PA (PO boxes)",705,0.0001,1 
"17094","42","PA","Thompsontown, PA",2339,0.0002,1 
"17097","42","PA","Wiconisco, PA (PO boxes)",845,0.0001,1 
"17098","42","PA","Williamstown, PA",2397,0.0002,1 
"17099","42","PA","Yeagertown, PA",1158,0.0001,1 
"17101","42","PA","Harrisburg, PA",2901,0.0002,1 
"17102","42","PA","Harrisburg, PA",7989,0.0006,1 
"17103","42","PA","Harrisburg, PA",12225,0.0009,1 
"17104","42","PA","Harrisburg, PA",20058,0.0015,1 
"17109","42","PA","Harrisburg, PA",25232,0.0019,1 
"17110","42","PA","Harrisburg, PA",27239,0.0021,1 
"17111","42","PA","Harrisburg, PA",36557,0.0028,1 
"17112","42","PA","Harrisburg, PA",37137,0.0029,1 
"17113","42","PA","Harrisburg, PA",11649,0.0009,1 
"17120","42","PA","Harrisburg, PA",4,0,1 
"17201","42","PA","Chambersburg, PA",27556,0.0021,1 
"17202","42","PA","Chambersburg, PA",30805,0.0024,1 
"17210","42","PA","Amberson, PA (PO boxes)",241,0,1 
"17211","42","PA","Artemas, PA",407,0,1 
"17212","42","PA","Big Cove Tannery, PA",635,0,1 
"17213","42","PA","Blairs Mills, PA",535,0,1 
"17214","42","PA","Blue Ridge Summit, PA",1093,0.0001,1 
"17215","42","PA","Burnt Cabins, PA",256,0,1 
"17217","42","PA","Concord, PA",148,0,1 
"17219","42","PA","Doylesburg, PA",515,0,1 
"17220","42","PA","Dry Run, PA",568,0,1 
"17221","42","PA","Fannettsburg, PA",538,0,1 
"17222","42","PA","Fayetteville, PA",11224,0.0009,1 
"17223","42","PA","Fort Littleton, PA",287,0,1 
"17224","42","PA","Fort Loudon, PA",1742,0.0001,1 
"17225","42","PA","Greencastle, PA",20199,0.0016,1 
"17228","42","PA","Harrisonville, PA",1121,0.0001,1 
"17229","42","PA","Hustontown, PA",1252,0.0001,1 
"17232","42","PA","Lurgan, PA",25,0,1 
"17233","42","PA","Mc Connellsburg, PA",5143,0.0004,1 
"17235","42","PA","Marion, PA (PO boxes)",559,0,1 
"17236","42","PA","Mercersburg, PA",8620,0.0007,1 
"17237","42","PA","Mont Alto, PA",1765,0.0001,1 
"17238","42","PA","Needmore, PA",1748,0.0001,1 
"17239","42","PA","Neelyton, PA",264,0,1 
"17240","42","PA","Newburg, PA",3598,0.0003,1 
"17241","42","PA","Newville, PA",11878,0.0009,1 
"17243","42","PA","Orbisonia, PA",1348,0.0001,1 
"17244","42","PA","Orrstown, PA",2362,0.0002,1 
