"zcta","state","stab","ZIPName","pop20","afact2","afact"
"ZIP census tabulation area","State code","State abbr.","ZIP Code name","Total population (2020 Census)","state-to-zcta allocation factor","zcta-to-state allocation factor"
"00745","72","PR","Canóvanas, Río Grande, PR",47718,0.0145,1 
"00751","72","PR","Salinas, PR",19369,0.0059,1 
"00754","72","PR","San Lorenzo, PR",36673,0.0112,1 
"00757","72","PR","Santa Isabel, PR",20183,0.0061,1 
"00765","72","PR","Vieques, PR",8249,0.0025,1 
"00766","72","PR","Villalba, PR",22354,0.0068,1 
"00767","72","PR","Yabucoa, PR",30646,0.0093,1 
"00769","72","PR","Coamo, PR",34163,0.0104,1 
"00771","72","PR","Las Piedras, PR",34761,0.0106,1 
"00772","72","PR","Loiza, PR",17936,0.0055,1 
"00773","72","PR","Luquillo, PR",17772,0.0054,1 
"00775","72","PR","Culebra, PR (PO boxes)",1792,0.0005,1 
"00777","72","PR","Juncos, PR",37717,0.0115,1 
"00778","72","PR","Gurabo, PR",40585,0.0124,1 
"00780","72","PR","Ponce, Coto Laurel, PR",14934,0.0045,1 
"00782","72","PR","Comerio, PR",17965,0.0055,1 
"00783","72","PR","Corozal, PR",34093,0.0104,1 
"00784","72","PR","Guayama, PR",36313,0.0111,1 
"00786","72","PR","Aibonito, La Plata, PR (PO boxes)",273,0.0001,1 
"00791","72","PR","Humacao, PR",47260,0.0144,1 
"00794","72","PR","Barranquitas, PR",28791,0.0088,1 
"00795","72","PR","Juana Díaz, PR",43745,0.0133,1 
"00901","72","PR","San Juan, Old San Juan, PR",6218,0.0019,1 
"00906","72","PR","San Juan, Puerta de Tierra, PR (PO boxes)",165,0.0001,1 
"00907","72","PR","San Juan, Santurce, PR",16864,0.0051,1 
"00909","72","PR","San Juan, Fernández Juncos, PR",6987,0.0021,1 
"00911","72","PR","San Juan, Loíza Street Station, PR",7496,0.0023,1 
"00912","72","PR","San Juan, PR",5786,0.0018,1 
"00913","72","PR","San Juan, PR",7261,0.0022,1 
"00915","72","PR","San Juan, Barrio Obrero, PR",25075,0.0076,1 
"00917","72","PR","San Juan, Hato Rey, PR",17319,0.0053,1 
"00918","72","PR","San Juan, PR",17439,0.0053,1 
"00920","72","PR","San Juan, Caparra Heights, PR",14798,0.0045,1 
"00921","72","PR","San Juan, PR",32062,0.0098,1 
"00923","72","PR","San Juan, 65 de Infantería, PR",23607,0.0072,1 
"00924","72","PR","San Juan, 65 de Infantería, PR",49654,0.0151,1 
"00925","72","PR","San Juan, Río Piedras, PR",5501,0.0017,1 
"00926","72","PR","San Juan, PR",96732,0.0294,1 
"00927","72","PR","San Juan, PR",14297,0.0044,1 
"00934","72","PR","San Juan, Fort Buchanan, PR",218,0.0001,1 
"00949","72","PR","Toa Baja, PR",67453,0.0205,1 
"00950","72","PR","Toa Baja, Levittown, PR (PO boxes)",6,0,1 
"00951","72","PR","Toa Baja, PR (PO boxes)",430,0.0001,1 
"00952","72","PR","Toa Baja, Sabana Seca, PR",8671,0.0026,1 
"00953","72","PR","Toa Alta, PR",66369,0.0202,1 
"00956","72","PR","Bayamón, PR",72353,0.022,1 
"00957","72","PR","Bayamón, PR",40540,0.0123,1 
"00959","72","PR","Bayamón, PR",43625,0.0133,1 
"00960","72","PR","Bayamón, PR (PO boxes)",2891,0.0009,1 
"00961","72","PR","Bayamón, PR",28062,0.0085,1 
"00962","72","PR","Cataño, PR",19741,0.006,1 
"00965","72","PR","Guaynabo, PR",6168,0.0019,1 
"00966","72","PR","Guaynabo, PR",16977,0.0052,1 
"00968","72","PR","Guaynabo, PR",3722,0.0011,1 
"00969","72","PR","Guaynabo, PR",38838,0.0118,1 
"00971","72","PR","Guaynabo, PR",28517,0.0087,1 
"00976","72","PR","Trujillo Alto, PR",59879,0.0182,1 
"00979","72","PR","Carolina, PR",14929,0.0045,1 
"00982","72","PR","Carolina, PR",14182,0.0043,1 
"00983","72","PR","Carolina, PR",31889,0.0097,1 
"00985","72","PR","Carolina, PR",31250,0.0095,1 
"00987","72","PR","Carolina, PR",58427,0.0178,1 
"01001","25","MA","Agawam, MA",16984,0.0024,1 
"01002","25","MA","Amherst, MA",27558,0.0039,1 
"01003","25","MA","Amherst, MA",13253,0.0019,1 
"01005","25","MA","Barre, MA",4900,0.0007,1 
"01007","25","MA","Belchertown, MA",15423,0.0022,1 
"01008","25","MA","Blandford, MA",1317,0.0002,1 
"01009","25","MA","Bondsville, MA (PO boxes)",980,0.0001,1 
"01010","25","MA","Brimfield, MA",3711,0.0005,1 
"01011","25","MA","Chester, MA",1201,0.0002,1 
"01012","25","MA","Chesterfield, MA",519,0.0001,1 
"01013","25","MA","Chicopee, MA",23656,0.0034,1 
"01020","25","MA","Chicopee, MA",29781,0.0042,1 
"01022","25","MA","Chicopee, MA",2158,0.0003,1 
"01026","25","MA","Cummington, MA",1011,0.0001,1 
"01027","25","MA","Easthampton, MA",17896,0.0025,1 
"01028","25","MA","East Longmeadow, MA",16417,0.0023,1 
"01029","25","MA","East Otis, MA (PO boxes)",714,0.0001,1 
"01030","25","MA","Feeding Hills, MA",11708,0.0017,1 
"01031","25","MA","Gilbertville, MA",1406,0.0002,1 
"01032","25","MA","Goshen, MA",483,0.0001,1 
"01033","25","MA","Granby, MA",6092,0.0009,1 
"01034","25","MA","Granville, MA",1977,0.0003,1 
"01035","25","MA","Hadley, MA",5325,0.0008,1 
"01036","25","MA","Hampden, MA",4966,0.0007,1 
"01037","25","MA","Hardwick, MA (PO boxes)",706,0.0001,1 
"01038","25","MA","Hatfield, MA",2522,0.0004,1 
"01039","25","MA","Haydenville, MA",1511,0.0002,1 
"01040","25","MA","Holyoke, MA",38238,0.0054,1 
"01050","25","MA","Huntington, MA",2467,0.0004,1 
"01053","25","MA","Leeds, MA",2031,0.0003,1 
"01054","25","MA","Leverett, MA",1889,0.0003,1 
"01056","25","MA","Ludlow, MA",21002,0.003,1 
"01057","25","MA","Monson, MA",8152,0.0012,1 
"01060","25","MA","Northampton, MA",14461,0.0021,1 
"01062","25","MA","Florence, MA",10910,0.0016,1 
"01063","25","MA","Northampton, MA",2106,0.0003,1 
"01066","25","MA","North Hatfield, MA (PO boxes)",215,0,1 
"01068","25","MA","Oakham, MA",1904,0.0003,1 
"01069","25","MA","Palmer, MA",8428,0.0012,1 
"01070","25","MA","Plainfield, MA",577,0.0001,1 
"01071","25","MA","Russell, MA",1486,0.0002,1 
"01072","25","MA","Shutesbury, MA",1366,0.0002,1 
"01073","25","MA","Southampton, MA",6224,0.0009,1 
"01074","25","MA","South Barre, MA (PO boxes)",584,0.0001,1 
"01075","25","MA","South Hadley, MA",18168,0.0026,1 
"01077","25","MA","Southwick, MA",9237,0.0013,1 
"01079","25","MA","Thorndike, MA (PO boxes)",701,0.0001,1 
"01080","25","MA","Three Rivers, MA",2400,0.0003,1 
"01081","25","MA","Wales, MA",1684,0.0002,1 
"01082","25","MA","Ware, MA",10565,0.0015,1 
"01083","25","MA","Warren, MA (PO boxes)",2549,0.0004,1 
"01084","25","MA","West Chesterfield, MA",185,0,1 
"01085","25","MA","Westfield, MA",41529,0.0059,1 
"01088","25","MA","West Hatfield, MA",598,0.0001,1 
"01089","25","MA","West Springfield, MA",28835,0.0041,1 
"01092","25","MA","West Warren, MA (PO boxes)",1343,0.0002,1 
"01093","25","MA","Whately, MA (PO boxes)",290,0,1 
"01094","25","MA","Wheelwright, MA (PO boxes)",60,0,1 
"01095","25","MA","Wilbraham, MA",14694,0.0021,1 
"01096","25","MA","Williamsburg, MA",2509,0.0004,1 
"01097","25","MA","Woronoco, MA (PO boxes)",130,0,1 
"01098","25","MA","Worthington, MA",1147,0.0002,1 
"01103","25","MA","Springfield, MA",2545,0.0004,1 
"01104","25","MA","Springfield, MA",23598,0.0034,1 
"01105","25","MA","Springfield, MA",12051,0.0017,1 
"01106","25","MA","Longmeadow, MA",16165,0.0023,1 
"01107","25","MA","Springfield, MA",11252,0.0016,1 
"01108","25","MA","Springfield, MA",27671,0.0039,1 
"01109","25","MA","Springfield, MA",30968,0.0044,1 
"01118","25","MA","Springfield, MA",14296,0.002,1 
"01119","25","MA","Springfield, MA",14393,0.002,1 
"01128","25","MA","Springfield, MA",2647,0.0004,1 
"01129","25","MA","Springfield, MA",7024,0.001,1 
"01151","25","MA","Indian Orchard, MA",9150,0.0013,1 
"01201","25","MA","Pittsfield, MA",45494,0.0065,1 
"01220","25","MA","Adams, MA",8166,0.0012,1 
"01222","25","MA","Ashley Falls, MA",835,0.0001,1 
"01223","25","MA","Becket, MA",2430,0.0003,1 
"01224","25","MA","Berkshire, MA",217,0,1 
"01225","25","MA","Cheshire, MA",3258,0.0005,1 
"01226","25","MA","Dalton, MA",6324,0.0009,1 
"01229","25","MA","Glendale, MA (PO boxes)",189,0,1 
"01230","25","MA","Great Barrington, MA",8907,0.0013,1 
"01235","25","MA","Hinsdale, MA",2733,0.0004,1 
"01236","25","MA","Housatonic, MA",1513,0.0002,1 
"01237","25","MA","Lanesborough, MA",2365,0.0003,1 
"01238","25","MA","Lee, MA",5722,0.0008,1 
"01240","25","MA","Lenox, MA",4692,0.0007,1 
"01242","25","MA","Lenox Dale, MA (PO boxes)",449,0.0001,1 
"01243","25","MA","Middlefield, MA (PO boxes)",175,0,1 
"01244","25","MA","Mill River, MA (PO boxes)",287,0,1 
